"Time (UTC)","Google (Search)","Telescope (# Unique Source IPs)","BGP (#Visible /24s)","Active Probing (#/24s Up)","Mozilla (City Count)"
"2025-12-31 23:00:00",38.45962223410695,16.703475531791238,99.8935471994109,98.18003602839886,17.5
"2025-12-31 23:30:00",31.75300935235978,15.645704986632571,99.89194640541709,96.33887888100033,
"2026-01-01 00:00:00",25.519292121938754,14.94827385795653,99.89434759640781,97.19190420684541,15
"2026-01-01 00:30:00",21.087897466471528,16.226897593862606,99.88714402343562,95.96270001059659,
"2026-01-01 01:00:00",18.147485890380956,15.680576543066374,99.89594839040163,96.1163505351277,12.5
"2026-01-01 01:30:00",16.302732320972716,16.064163663838197,99.89194640541709,96.59319699056904,
"2026-01-01 02:00:00",15.897655092878567,15.831686620946181,99.89514799340473,96.44749390696195,15
"2026-01-01 02:30:00",16.785993448757047,16.0874113681274,99.88954521442636,96.0739641835329,
"2026-01-01 03:00:00",19.585576064603245,16.494246193188424,99.89114600842018,96.25145703083608,20
"2026-01-01 03:30:00",22.981909966570985,18.016970824131118,99.8935471994109,96.23556214898802,
"2026-01-01 04:00:00",26.723761320560858,18.865512030686972,99.8935471994109,96.29649252940553,42.5
"2026-01-01 04:30:00",32.55303992107955,24.71230965942113,99.89514799340473,96.39716011444315,
"2026-01-01 05:00:00",40.4491309174354,25.665465535278393,99.89770926379484,96.67796969375861,67.5
"2026-01-01 05:30:00",48.88350711830317,26.362896663954434,,97.02500794744094,
"2026-01-01 06:00:00",58.434303165053635,23.37556666279205,99.897148985897,97.27667691003498,70
"2026-01-01 06:30:00",67.78633128627523,25.723584796001397,99.89434759640781,97.63696089859066,
"2026-01-01 07:00:00",74.99346048106966,24.154364756480298,99.89514799340473,97.95750768252623,75
"2026-01-01 07:30:00",80.15042942767415,23.538300592816462,99.89434759640781,98.15619370562679,
"2026-01-01 08:00:00",83.95158586275045,21.45763105893293,99.89594839040163,98.50058281233444,72.5
"2026-01-01 08:30:00",86.46473512151263,21.353016389631527,99.89434759640781,98.69132139451096,
"2026-01-01 09:00:00",86.04028467853433,21.608741136812743,99.89754918439546,98.89795485853556,67.5
"2026-01-01 09:30:00",84.78853510515702,20.64396140881088,99.89434759640781,98.91649888735829,
"2026-01-01 10:00:00",83.91255102915926,18.70277810066256,99.89914997838927,98.96418353290241,62.5
"2026-01-01 10:30:00",82.90144884525293,18.760897361385563,99.89554819190319,98.74695348097913,
"2026-01-01 11:00:00",81.1957442117212,18.90038358712077,99.892746802414,98.84497191904208,60
"2026-01-01 11:30:00",78.84250780738425,18.935255143554574,99.89194640541709,98.67807565963761,
"2026-01-01 12:00:00",75.6234168596247,18.47030105777055,99.89434759640781,98.86351594786478,60
"2026-01-01 12:30:00",73.41122196997658,20.64396140881088,99.89914997838927,98.97742926777579,
"2026-01-01 13:00:00",71.22807473151717,20.65558526095548,99.89434759640781,98.72046201123239,62.5
"2026-01-01 13:30:00",69.80172274749806,21.42275950249913,99.89754918439546,97.95485853555157,
"2026-01-01 14:00:00",69.63879294314563,21.434383354643728,99.89434759640781,97.991946593197,65
"2026-01-01 14:30:00",68.42666248987265,19.78379635011043,99.89754918439546,98.10585991310799,
"2026-01-01 15:00:00",71.33416019990594,20.00464954085784,99.89434759640781,98.4528981667903,65
"2026-01-01 15:30:00",70.81921463477826,20.829943043124494,99.89434759640781,98.81053300837131,
"2026-01-01 16:00:00",76.52300460059848,20.527722887364874,99.89394739790937,98.88735827063687,57.49999999999999
"2026-01-01 16:30:00",71.22145845082252,21.09729164245031,99.89434759640781,98.83437533114338,
"2026-01-01 17:00:00",70.2964973039475,20.36498895734046,99.89594839040163,98.54826745787857,57.49999999999999
"2026-01-01 17:30:00",71.4947322373863,18.865512030686972,99.89554819190319,97.89127900815939,
"2026-01-01 18:00:00",72.28031108146746,18.133209345577125,99.892746802414,97.67934725018544,52.5
"2026-01-01 18:30:00",74.65498067919741,18.28431942345693,99.89194640541709,97.51774928473033,
"2026-01-01 19:00:00",77.32067553272934,17.900732302685114,99.892746802414,96.05277100773552,52.5
"2026-01-01 19:30:00",78.05714434030088,18.15645704986633,99.88954521442636,97.07004344601039,
"2026-01-01 20:00:00",76.08637401309844,17.052191096129256,99.89194640541709,97.05679771113702,32.5
"2026-01-01 20:30:00",74.02489135298808,17.37765895617808,99.88954521442636,97.07534173995973,
"2026-01-01 21:00:00",69.16811833564746,16.168778333139603,99.88874481742944,97.28992264490834,32.5
"2026-01-01 21:30:00",61.810050316016465,17.470649773334884,99.88714402343562,97.21574652961748,
"2026-01-01 22:00:00",55.34687516039058,16.970824131117052,99.88874481742944,97.28992264490834,22.5
"2026-01-01 22:30:00",47.73016111986632,16.61048471463443,99.88594342794026,97.4276782875914,
"2026-01-01 23:00:00",41.18151534654334,16.90108101824945,99.8935471994109,97.45946805128749,20
"2026-01-01 23:30:00",33.87918115894004,16.44775078461002,99.88874481742944,97.28727349793368,
"2026-01-02 00:00:00",28.05011978715791,15.203998605137745,99.88874481742944,97.16541273709865,12.5
"2026-01-02 00:30:00",22.930380372643278,15.77356736022318,99.88794442043255,96.66737310585992,
"2026-01-02 01:00:00",19.207722453071955,16.250145298151807,99.89114600842018,96.55081063897426,12.5
"2026-01-02 01:30:00",16.443101528632432,15.622457282343369,99.88954521442636,96.27794850058282,
"2026-01-02 02:00:00",15.319046640090761,16.62210856677903,99.892746802414,96.28059764755749,12.5
"2026-01-02 02:30:00",15.609418321988128,16.842961757526446,99.892746802414,96.02892868496345,
"2026-01-02 03:00:00",17.486470566678452,17.482273625479486,99.89434759640781,95.99448977429267,17.5
"2026-01-02 03:30:00",19.199192247518702,16.703475531791238,99.892746802414,95.89647133622974,
"2026-01-02 04:00:00",21.594313760904374,17.668255259793096,99.89114600842018,95.66069725548373,22.5
"2026-01-02 04:30:00",24.919603474702132,18.19132860630013,99.88954521442636,95.84083924976159,
"2026-01-02 05:00:00",30.655820407144674,19.481576194350808,99.892746802414,96.19052665041858,32.5
"2026-01-02 05:30:00",37.03818798292164,18.667906544228757,99.88954521442636,96.16668432764651,
"2026-01-02 06:00:00",45.49582702095878,17.342787399744278,99.89114600842018,96.69386457560665,47.5
"2026-01-02 06:30:00",53.402283511750845,17.900732302685114,99.89074580992173,96.56935466779697,
"2026-01-02 07:00:00",61.70968787110098,18.69115424851796,99.8999503753862,96.9958673307195,57.49999999999999
"2026-01-02 07:30:00",66.61532185709417,18.005346971986516,99.89674878739855,97.13627212037724,
"2026-01-02 08:00:00",71.36748887343148,16.331512263164015,99.89914997838927,97.44357316943945,65
"2026-01-02 08:30:00",74.17821225101568,17.598512146925493,99.90195136787847,97.7243827487549,
"2026-01-02 09:00:00",75.42137543744424,18.70277810066256,99.89674878739855,97.90452474303275,60
"2026-01-02 09:30:00",74.89874051797891,18.842264326397768,99.89674878739855,98.17473773444951,
"2026-01-02 10:00:00",75.2723130891953,18.574915727071954,99.89674878739855,98.33368655292996,55.00000000000001
"2026-01-02 10:30:00",75.47036000516691,19.06311751714518,99.89754918439546,98.0210872099184,
"2026-01-02 11:00:00",74.68443846356226,17.41253051261188,99.89474779490627,97.89127900815939,57.49999999999999
"2026-01-02 11:30:00",73.19651165210061,18.261071719167735,99.89554819190319,98.08731588428526,
"2026-01-02 12:00:00",71.31008459322969,18.54004417063815,99.89754918439546,98.35752887570203,55.00000000000001
"2026-01-02 12:30:00",69.1458892181772,17.621759851214694,99.89834958139237,98.33103740595529,
"2026-01-02 13:00:00",65.80809633031713,19.66755782866442,99.89394739790937,97.82769948076721,57.49999999999999
"2026-01-02 13:30:00",64.35447763635757,18.016970824131118,99.89674878739855,98.22772067394298,
